Student_ID,Age,Gender,Attendance,Study_Hours,Internal_Marks,Aptitude_Score,Coding_Score,Communication_Score,Project_Count,Mock_Interview_Score,CGPA,Internship,Placement_Ready,Semester,Python_Skill,SQL_Skill,ML_Basics,Certifications,Hackathons,LeetCode_Problems,GitHub_Projects,Soft_Skills,Expected_Package_LPA,CGPA_Capped
23,24,Female,58,2.2,40,79,53,88.0,2,74,8.57,No,No,3,44,61,98,3,1,324,4,62,6.64,8.57
24,19,Male,73,2.5,43,99,27,70.0,0,26,8.07,Yes,No,4,70,50,34,6,3,238,7,70,7.68,8.07
25,18,Male,66,1.5,44,60,71,45.0,4,51,8.05,Yes,No,4,45,53,33,5,2,135,7,93,6.46,8.05
26,22,Male,81,5.6,76,96,60,63.0,1,60,6.55,No,No,3,73,37,46,4,2,75,11,74,5.58,6.55
27,19,Female,84,3.2,88,39,21,88.0,4,92,9.88,Yes,No,3,88,73,31,5,2,265,5,98,10.38,9.88
28,22,Male,87,2.9,99,74,28,61.0,2,56,6.19,No,No,3,62,63,88,4,4,168,10,54,4.71,6.19
29,22,Male,97,6.7,59,43,37,63.0,0,33,8.77,Yes,No,3,91,65,71,5,1,102,8,71,9.16,8.77
30,20,Female,93,2.5,61,56,53,94.0,3,52,9.48,Yes,No,4,86,38,23,6,2,241,4,52,10.02,9.48
31,18,Female,72,1.3,61,46,53,50.0,5,76,7.93,No,No,4,68,79,66,0,1,52,3,70,6.24,7.93
32,22,Male,62,1.5,96,49,89,34.0,6,67,8.06,Yes,No,3,61,61,81,4,4,0,7,98,6.91,8.06
33,21,Male,57,3.2,97,35,65,56.0,5,51,8.43,No,No,4,91,45,35,3,5,102,7,96,8.36,8.43
34,24,Female,94,6.2,99,60,40,52.0,3,23,6.29,No,No,3,67,77,31,6,5,202,7,65,5.43,6.29
35,24,Female,97,7.0,91,61,54,50.0,6,33,7.18,Yes,No,3,86,55,41,1,0,77,9,97,6.26,7.18
36,24,Female,69,2.4,98,88,64,69.0,6,49,6.48,Yes,No,4,91,53,98,6,4,242,10,99,6.62,6.48
37,21,Female,72,7.1,89,65,64,95.0,3,88,6.96,Yes,No,4,49,51,22,0,5,332,1,73,4.31,6.96
38,18,Female,66,5.1,56,34,33,85.0,2,60,7.42,Yes,No,3,67,59,47,0,2,108,4,72,5.58,7.42
39,21,Male,71,1.3,67,30,86,98.0,5,45,7.1,Yes,No,3,88,76,53,4,3,67,0,98,6.84,7.1
40,23,Female,94,3.2,94,45,58,94.0,2,72,6.94,No,No,4,97,93,94,6,4,215,8,48,7.41,6.94
41,22,Male,67,3.9,100,78,42,68.0,3,90,9.17,No,No,3,73,100,22,6,3,93,9,40,9.12,9.17
42,20,Male,82,6.5,78,71,79,86.0,3,47,7.75,Yes,Yes,3,51,53,80,4,5,61,8,43,6.14,7.75
43,23,Male,73,4.6,80,72,31,60.0,5,59,6.49,Yes,No,4,83,96,33,4,0,127,3,57,5.91,6.49
44,19,Male,57,2.7,70,39,78,83.0,5,93,6.36,No,No,3,89,47,84,3,4,14,12,97,5.79,6.36
45,21,Female,70,2.0,84,30,33,84.0,1,42,9.04,No,No,3,68,76,98,4,4,262,3,84,8.37,9.04
46,18,Male,62,4.2,91,89,87,70.0,6,76,,No,No,4,68,100,88,6,3,259,3,84,7.32,
47,24,Female,65,6.2,70,87,53,61.0,6,55,8.87,No,No,4,99,60,77,1,3,62,6,68,8.8,8.87
48,23,Male,72,4.1,85,66,50,64.0,2,60,9.43,Yes,No,4,44,65,74,0,1,342,4,90,7.08,9.43
49,19,Male,69,3.7,49,57,28,83.0,3,62,7.89,No,No,3,97,54,66,1,2,70,7,54,7.55,7.89
50,18,Male,81,3.7,89,32,93,78.0,3,20,9.65,No,No,3,65,97,40,5,1,82,11,67,9.18,9.65
51,24,Female,81,4.8,87,99,97,58.0,3,48,6.7,No,No,4,61,88,45,2,2,47,11,63,4.88,6.7
52,18,Female,76,5.7,91,81,41,89.0,1,99,7.85,No,No,3,61,93,76,5,0,196,5,73,6.86,7.85
53,22,Male,60,5.5,48,89,43,36.0,2,68,6.94,No,No,4,72,43,34,6,1,53,1,56,6.41,6.94
54,20,Female,79,2.9,100,83,52,40.0,3,22,8.8,Yes,No,4,42,58,54,6,1,216,10,92,7.44,8.8
55,20,Male,96,1.5,81,35,23,61.0,1,22,8.23,Yes,No,4,65,54,88,4,4,253,11,60,7.28,8.23
56,19,Female,97,1.8,100,57,79,62.0,6,67,6.24,Yes,No,3,57,42,43,3,0,137,0,80,4.37,6.24
57,24,Male,74,1.8,41,69,93,78.0,3,45,,Yes,No,3,91,68,30,4,1,34,4,95,6.16,
58,18,Female,98,5.2,47,35,64,98.0,3,67,5.8,No,No,3,61,88,54,4,1,22,8,85,4.2,5.8
59,18,Female,86,1.7,63,88,39,85.0,1,86,9.75,No,No,3,100,49,40,2,0,92,3,99,10.1,9.75
60,22,Female,84,4.0,86,64,61,61.0,6,31,6.73,No,No,4,80,74,87,6,1,148,7,72,6.48,6.73
61,19,Female,91,5.3,64,73,23,93.0,6,61,6.3,Yes,No,3,57,79,22,2,0,7,0,86,4.24,6.3
62,20,Female,76,3.0,78,65,91,31.0,4,44,5.88,No,No,3,72,95,51,3,0,337,10,67,4.54,5.88
63,21,Male,99,4.3,85,92,77,32.0,0,57,6.48,Yes,No,4,74,85,84,2,5,110,3,61,5.14,6.48
64,20,Female,85,4.9,62,84,90,72.0,2,78,6.69,No,No,3,93,52,71,2,0,66,0,44,6.15,6.69
65,19,Male,67,3.2,87,98,43,54.0,1,81,6.72,No,No,4,67,55,27,0,5,195,8,82,4.74,6.72
66,18,Male,73,2.6,51,68,21,98.0,1,55,5.7,Yes,No,4,78,66,57,0,3,94,2,57,3.96,5.7
67,22,Female,99,7.6,80,92,33,31.0,4,56,7.57,No,No,4,40,68,66,2,4,165,3,42,5.08,7.57
68,20,Male,58,2.8,95,91,34,38.0,3,82,5.83,Yes,No,4,53,80,43,0,2,195,1,70,3.12,5.83
69,19,Male,91,7.6,45,61,35,83.0,4,96,8.98,Yes,No,4,72,60,51,4,0,46,4,92,8.46,8.98
70,24,Female,83,7.4,59,84,59,37.0,4,32,9.67,Yes,Yes,3,49,86,95,0,3,11,4,59,7.56,9.67
71,23,Male,71,5.6,50,60,42,100.0,0,40,5.51,No,No,3,45,54,96,3,2,253,2,58,3.01,5.51
72,23,Female,73,1.2,58,66,78,39.0,5,49,9.57,Yes,Yes,3,42,100,100,3,5,258,2,98,7.76,9.57
73,21,Male,89,2.6,49,64,38,39.0,0,41,8.99,No,No,3,92,64,30,0,0,68,10,63,8.47,8.99
74,21,Male,84,5.8,84,81,54,94.0,4,83,7.43,Yes,No,3,64,92,91,0,5,9,10,74,5.48,7.43
75,21,Female,93,2.8,45,59,93,32.0,6,54,8.04,Yes,Yes,3,71,68,20,3,0,257,8,45,7.09,8.04
76,21,Female,72,2.3,77,85,82,41.0,3,64,7.3,No,Yes,3,87,95,52,6,0,135,3,86,7.44,7.3
77,23,Male,65,3.3,84,93,56,81.0,6,90,5.66,Yes,No,3,54,93,83,6,3,39,7,98,4.15,5.66
78,20,Female,75,1.8,89,81,85,30.0,5,89,7.53,Yes,Yes,4,89,40,98,5,5,101,1,78,7.6,7.53
79,19,Female,94,6.3,80,86,26,56.0,2,90,6.08,No,No,3,61,67,58,4,4,68,0,70,4.54,6.08
80,21,Female,62,1.2,80,60,40,69.0,4,21,7.93,Yes,No,3,71,69,32,5,1,345,7,58,7.36,7.93
81,19,Male,84,7.6,81,49,83,67.0,4,54,7.33,No,No,4,69,94,79,6,0,281,3,59,6.76,7.33
82,21,Male,84,4.9,64,54,96,95.0,5,37,9.3,No,No,3,99,95,22,2,3,39,8,68,9.52,9.3
83,24,Female,76,,72,64,20,66.0,5,58,9.18,No,No,4,64,61,46,0,4,46,2,87,7.58,9.18
84,24,Male,83,4.8,62,72,90,99.0,3,78,9.6,Yes,Yes,4,100,81,36,4,5,260,4,96,10.32,9.6
85,23,Male,91,3.7,94,82,25,70.0,5,80,8.6,No,No,3,85,81,49,3,3,201,0,50,8.32,8.6
86,21,Male,86,7.8,48,94,95,72.0,6,32,9.35,No,Yes,3,100,97,77,3,2,72,6,62,9.82,9.35
87,18,Female,55,6.1,66,49,29,90.0,6,53,6.99,No,No,4,60,50,62,0,2,173,6,47,4.79,6.99
88,23,Male,76,7.0,94,98,68,70.0,5,82,9.34,Yes,Yes,3,85,36,57,2,2,33,6,64,9.01,9.34
89,22,Male,70,5.4,98,66,49,41.0,3,32,8.85,Yes,No,3,63,89,55,6,0,143,1,43,8.34,8.85
90,21,Male,99,3.1,41,35,61,37.0,2,65,7.15,Yes,No,4,80,54,51,2,3,261,5,52,6.18,7.15
91,19,Female,91,5.8,51,51,42,40.0,4,68,8.23,Yes,No,4,90,89,23,6,5,204,8,75,8.68,8.23
92,21,Male,69,4.2,56,88,52,31.0,6,79,9.47,Yes,No,3,86,45,26,5,3,230,9,88,9.8,9.47
93,18,Female,77,7.9,59,84,52,88.0,6,58,6.38,No,No,3,81,71,82,0,4,65,2,70,4.9,6.38
94,24,Female,61,2.7,76,75,93,67.0,5,57,5.6,No,No,4,61,71,58,2,5,334,4,65,3.56,5.6
95,20,Male,91,7.1,89,36,97,93.0,6,56,8.91,Yes,No,3,59,96,91,5,3,61,2,81,8.05,8.91
96,22,Female,69,5.5,79,62,37,42.0,5,25,6.86,No,No,3,44,61,84,6,3,281,3,68,5.19,6.86
97,18,Female,63,1.6,58,71,73,52.0,1,36,8.96,No,No,4,88,92,74,1,4,98,3,45,8.47,8.96
98,22,Female,65,2.8,92,91,57,73.0,6,34,7.56,Yes,No,3,61,46,60,1,2,132,12,76,5.71,7.56
99,19,Male,98,6.1,65,76,31,80.0,0,53,7.86,No,No,3,96,37,72,3,3,268,3,64,7.87,7.86
100,20,Female,92,3.7,80,77,33,59.0,3,23,8.23,No,No,4,61,42,83,2,4,184,2,83,6.72,8.23
101,22,Male,96,1.4,92,89,58,82.0,0,37,5.7,Yes,No,3,45,69,51,3,3,330,7,67,3.24,5.7
102,20,Female,62,1.7,96,98,37,79.0,3,67,8.45,No,No,4,94,37,36,0,3,242,9,71,7.9,8.45
103,22,Male,81,5.6,93,92,98,82.0,2,24,8.54,Yes,Yes,3,44,85,87,6,3,229,3,90,7.21,8.54
104,21,Female,70,7.0,46,77,89,75.0,0,70,6.71,Yes,No,3,54,54,39,4,5,55,11,84,5.01,6.71
105,24,Female,60,5.6,81,32,26,72.0,1,36,8.96,Yes,No,4,45,40,20,6,1,119,9,98,7.75,8.96
106,18,Male,92,2.5,95,59,62,48.0,6,96,5.51,Yes,No,3,81,73,36,5,2,270,10,67,4.85,5.51
107,19,Female,66,,95,33,36,31.0,2,50,8.09,Yes,No,3,46,44,58,4,4,98,6,56,6.35,8.09
108,19,Female,58,1.9,66,97,34,38.0,3,77,8.92,Yes,No,3,90,35,21,4,2,235,4,60,9.1,8.92
109,21,Male,94,1.3,90,96,58,88.0,5,23,5.77,No,No,3,70,65,90,1,0,210,11,81,3.92,5.77
110,24,Female,82,5.8,71,86,29,40.0,2,97,6.15,Yes,No,4,43,37,44,3,5,331,6,45,3.7,6.15
111,20,Female,79,8.0,73,67,78,94.0,4,75,5.94,Yes,No,4,54,89,67,1,3,17,11,61,3.49,5.94
112,24,Male,82,4.2,54,82,63,88.0,3,73,8.71,No,Yes,4,63,85,45,0,2,258,1,53,6.97,8.71
113,21,Female,97,2.8,49,90,28,41.0,6,30,5.91,Yes,No,4,52,74,44,1,3,113,4,88,3.37,5.91
114,23,Female,63,4.9,77,72,35,82.0,2,74,9.32,Yes,No,4,46,98,98,1,1,248,6,98,7.22,9.32
115,20,Female,77,1.7,72,57,39,91.0,1,33,7.04,No,No,3,100,53,70,0,1,12,9,49,6.45,7.04
116,18,Female,91,2.6,67,33,97,64.0,0,43,6.7,No,No,4,43,42,43,3,3,160,11,47,4.36,6.7
117,20,Female,55,2.3,49,81,28,48.0,5,23,5.9,Yes,No,3,99,56,62,1,1,334,8,87,5.24,5.9
118,21,Female,84,3.4,63,69,61,40.0,0,39,6.19,Yes,No,4,42,74,68,6,2,169,7,50,4.31,6.19
119,23,Male,72,4.1,67,92,97,86.0,3,54,6.45,Yes,No,3,40,45,55,0,2,215,1,75,3.34,6.45
120,20,Female,62,3.0,83,92,87,69.0,0,48,7.24,Yes,No,3,64,80,59,6,3,44,0,85,6.45,7.24
121,18,Male,74,7.6,89,47,52,,2,35,5.53,No,No,4,52,82,89,3,1,165,5,87,3.32,5.53
122,19,Male,79,4.7,54,94,91,75.0,0,70,9.29,Yes,Yes,4,41,87,51,6,5,207,0,64,7.99,9.29
123,21,Male,84,7.4,95,70,93,84.0,4,71,8.62,No,Yes,3,69,43,27,2,1,32,9,61,7.5,8.62
124,20,Male,80,1.1,60,51,99,88.0,6,66,5.89,Yes,No,4,57,77,98,0,2,162,4,59,3.35,5.89
125,19,Female,92,3.8,45,80,59,73.0,1,62,8.93,Yes,Yes,3,86,43,23,6,1,54,7,85,9.36,8.93
126,22,Male,88,4.6,97,74,64,48.0,1,33,6.14,Yes,No,4,89,84,52,3,3,67,7,51,5.53,6.14
127,19,Male,96,1.5,100,93,79,87.0,5,92,8.33,No,Yes,3,91,73,39,4,1,167,5,69,8.44,8.33
128,24,Female,64,4.1,70,86,100,68.0,6,55,8.1,No,No,4,90,45,85,1,3,81,3,66,7.52,8.1
129,22,Male,74,4.2,42,37,67,66.0,0,31,8.21,No,No,3,81,39,81,4,4,166,2,67,7.89,8.21
130,21,Male,83,7.4,76,54,61,90.0,4,39,9.71,No,No,3,44,68,99,0,1,49,6,71,7.41,9.71
131,18,Female,100,1.6,81,52,25,61.0,5,76,9.86,Yes,No,4,51,64,37,3,3,317,10,55,8.47,9.86
132,20,Female,73,3.7,89,73,96,36.0,6,100,8.35,Yes,Yes,3,89,72,57,2,4,137,5,56,7.98,8.35
133,20,Male,90,5.7,58,62,97,49.0,2,30,8.06,Yes,Yes,4,52,91,51,1,1,120,2,58,5.95,8.06
134,20,Female,96,5.9,65,46,96,40.0,2,91,7.16,No,No,3,60,43,70,2,1,259,8,54,5.39,7.16
135,24,Male,97,5.9,100,97,31,84.0,4,66,5.58,No,No,3,81,94,24,0,0,243,3,93,3.94,5.58
136,19,Male,76,7.6,71,54,48,47.0,1,29,6.8,Yes,No,4,98,82,25,2,1,61,0,52,6.48,6.8
137,22,Male,97,3.4,89,46,96,78.0,1,40,6.3,Yes,No,3,99,44,67,4,1,229,9,56,6.32,6.3
138,23,Female,57,3.9,83,60,76,66.0,6,77,6.53,Yes,No,3,46,79,47,0,2,174,2,42,3.68,6.53
139,20,Female,67,3.6,100,86,79,66.0,6,68,7.71,No,No,3,56,39,96,5,5,104,0,92,6.49,7.71
140,19,Male,93,2.0,56,36,81,77.0,4,33,8.63,Yes,No,4,66,82,43,4,2,39,3,42,7.8,8.63
141,20,Male,65,2.9,97,95,38,85.0,0,48,9.09,No,No,4,75,96,28,3,0,202,10,75,8.51,9.09
142,18,Female,58,3.8,63,60,69,40.0,2,48,5.62,Yes,No,3,80,46,40,3,5,138,6,58,4.54,5.62
143,24,Female,64,2.0,58,90,37,90.0,3,98,5.52,Yes,No,4,66,41,59,5,4,182,6,66,4.26,5.52
144,18,Female,68,6.8,75,97,74,44.0,6,56,6.55,Yes,No,3,95,81,45,3,5,207,3,100,6.26,6.55
145,18,Male,81,5.5,79,88,28,44.0,6,83,8.13,Yes,No,3,67,55,74,0,0,207,9,96,6.44,8.13
146,23,Male,100,2.0,67,30,98,75.0,1,93,7.33,Yes,No,4,69,55,36,0,0,282,2,81,5.56,7.33
147,22,Female,59,7.7,74,94,84,100.0,0,69,9.34,Yes,No,4,45,82,84,1,1,178,4,50,7.21,9.34
148,23,Female,78,2.8,41,75,28,74.0,1,100,5.96,No,No,3,99,43,33,3,3,101,4,48,5.71,5.96
149,19,Male,77,4.8,92,52,79,91.0,5,43,9.07,Yes,No,3,98,96,60,0,4,325,6,45,8.8,9.07
150,23,Female,57,3.1,42,55,25,70.0,2,85,7.25,No,No,3,80,63,99,3,4,100,7,51,6.5,7.25
151,20,Male,96,2.3,62,36,62,64.0,0,67,7.42,No,No,3,42,86,86,1,3,183,1,49,4.78,7.42
152,23,Female,79,3.4,51,93,83,77.0,6,86,6.67,Yes,No,3,86,59,25,4,5,19,10,93,6.24,6.67
153,23,Female,60,4.0,92,53,89,67.0,2,33,5.85,No,No,4,47,84,96,3,4,321,12,59,3.5,5.85
154,20,Female,93,6.0,50,86,64,87.0,0,65,8.21,No,Yes,4,59,66,74,3,5,188,7,72,6.81,8.21
155,20,Male,59,5.7,65,76,85,50.0,0,38,9.23,No,No,4,51,37,20,4,3,238,3,68,7.92,9.23
156,18,Male,59,2.7,81,76,66,79.0,4,24,8.16,No,No,4,93,57,80,3,0,34,2,62,8.11,8.16
157,20,Female,83,6.3,76,47,87,76.0,3,60,8.36,Yes,No,4,63,46,76,4,4,336,0,42,7.35,8.36
158,18,Male,66,4.5,64,45,53,63.0,5,77,6.44,No,No,3,45,75,85,0,0,258,6,81,3.53,6.44
159,23,Female,67,1.9,94,39,77,52.0,5,76,9.89,No,No,3,41,43,98,5,5,56,3,48,8.51,9.89
160,23,Female,100,1.5,74,67,58,50.0,5,42,8.99,Yes,Yes,4,58,56,48,0,2,312,12,56,7.11,8.99
161,18,Male,63,2.7,71,33,66,100.0,4,67,7.56,Yes,No,3,60,70,78,1,2,257,7,53,5.67,7.56
162,22,Male,59,3.2,85,91,87,82.0,6,72,9.12,Yes,No,4,79,99,50,2,2,18,3,51,8.5,9.12
163,19,Female,96,1.5,69,96,64,46.0,6,90,8.32,Yes,Yes,4,50,70,61,3,1,135,1,89,6.58,8.32
164,24,Male,82,4.5,95,37,35,96.0,1,58,6.22,No,No,3,80,81,77,4,4,296,11,96,5.46,6.22
165,23,Male,77,7.6,73,66,30,62.0,1,90,6.71,No,No,3,56,85,67,2,3,188,9,49,4.69,6.71
166,22,Male,87,5.5,77,49,41,73.0,6,92,5.68,Yes,No,4,61,45,76,1,1,315,11,43,3.46,5.68
167,18,Male,96,6.4,56,56,93,83.0,4,23,7.69,No,Yes,4,92,67,59,5,4,339,5,86,7.91,7.69
168,23,Female,85,2.7,91,81,58,88.0,0,27,6.2,No,No,3,87,39,48,1,2,315,10,67,5.12,6.2
169,21,Female,68,3.4,49,70,60,74.0,3,36,8.85,Yes,No,4,72,81,26,1,3,116,9,81,7.7,8.85
170,20,Male,84,1.9,68,61,38,,0,57,9.66,No,No,3,41,41,20,4,2,155,1,73,8.03,9.66
171,19,Male,75,7.5,86,70,44,50.0,3,85,7.55,No,No,4,74,63,72,4,2,301,2,53,6.82,7.55
172,21,Male,60,7.6,72,88,50,57.0,4,65,5.71,No,No,4,79,95,40,1,0,124,11,49,4.21,5.71
173,21,Female,73,4.8,94,43,75,47.0,2,66,8.86,No,No,4,46,43,38,6,5,138,6,91,7.67,8.86
174,18,Female,58,5.0,52,76,90,66.0,0,69,7.72,No,No,4,40,42,91,2,4,330,9,68,5.26,7.72
175,24,Male,63,7.8,65,77,63,76.0,6,38,6.38,No,No,4,55,56,20,0,0,272,0,65,3.86,6.38
176,22,Male,57,1.3,85,72,80,96.0,3,39,8.17,Yes,No,3,55,55,27,6,0,6,9,75,7.2,8.17
177,20,Female,65,3.8,79,68,95,73.0,4,85,7.84,No,No,3,49,87,45,4,4,329,8,81,6.17,7.84
178,21,Male,78,3.3,47,83,94,69.0,6,100,5.62,No,No,4,92,57,85,2,0,153,10,43,4.82,5.62
179,20,Male,58,5.1,50,97,100,78.0,1,51,5.64,Yes,No,4,85,35,68,6,3,238,1,87,5.37,5.64
180,19,Male,83,3.2,49,82,46,82.0,4,98,9.55,Yes,No,4,51,63,33,2,1,329,0,47,7.9,9.55
181,23,Male,88,2.5,60,91,87,78.0,2,42,7.52,No,Yes,4,97,68,26,2,5,283,10,67,7.3,7.52
182,22,Female,98,6.4,86,63,98,91.0,1,51,6.73,No,No,4,58,62,30,4,0,86,4,97,5.2,6.73
183,19,Female,73,5.9,84,92,60,91.0,2,91,9.61,No,Yes,3,93,60,40,5,2,98,6,61,10.25,9.61
184,20,Male,91,5.7,64,80,64,48.0,2,25,6.77,Yes,No,3,64,95,80,6,4,3,0,67,5.88,6.77
185,20,Female,96,2.8,70,57,45,98.0,2,91,8.56,Yes,No,3,76,74,47,3,4,299,1,76,7.91,8.56
186,18,Male,70,1.4,97,97,48,59.0,0,32,7.32,No,No,3,49,39,23,0,0,318,2,62,4.74,7.32
187,18,Male,55,7.8,99,50,72,90.0,3,45,8.83,No,No,3,84,38,23,0,1,329,10,42,7.96,8.83
188,20,Female,96,1.4,89,41,93,59.0,4,24,9.52,Yes,No,3,87,40,28,6,4,186,3,92,10.1,9.52
189,21,Male,57,8.0,65,93,43,67.0,0,21,6.81,Yes,No,3,96,84,33,1,1,104,1,42,6.21,6.81
190,20,Female,84,7.9,74,97,83,47.0,6,84,7.56,Yes,Yes,3,100,46,100,5,2,244,1,48,8.07,7.56
191,24,Male,76,2.1,69,62,43,31.0,5,63,8.98,Yes,No,3,90,61,57,2,2,216,4,41,8.78,8.98
192,19,Female,82,4.6,45,81,32,53.0,1,81,6.92,Yes,No,4,56,71,26,5,2,164,12,78,5.54,6.92
193,18,Female,79,2.6,88,64,62,68.0,4,93,5.55,No,No,4,94,71,99,5,0,211,0,67,5.42,5.55
194,23,Male,58,5.7,69,69,40,81.0,5,84,9.56,No,No,3,62,95,26,4,4,110,11,95,8.75,9.56
195,23,Male,95,7.4,58,77,98,58.0,1,37,7.6,No,Yes,3,76,71,41,3,0,268,3,58,6.76,7.6
196,23,Female,81,5.9,98,90,88,57.0,6,51,8.49,Yes,Yes,3,40,79,82,0,3,94,7,77,5.79,8.49
197,22,Female,88,5.9,44,44,27,100.0,4,45,8.02,Yes,No,4,93,100,53,4,1,145,3,100,8.14,8.02
198,19,Female,88,4.1,83,56,94,92.0,0,85,7.46,Yes,Yes,3,71,56,34,5,0,251,12,84,6.79,7.46
199,21,Male,87,3.9,76,37,91,89.0,5,59,8.68,No,No,3,80,76,65,0,3,202,11,45,7.62,8.68
200,20,Male,68,5.0,42,84,64,38.0,4,27,9.61,Yes,No,4,96,38,67,1,2,134,6,97,9.57,9.61
201,21,Male,73,3.9,89,47,73,77.0,3,77,9.33,No,No,3,64,64,78,1,4,304,12,84,7.96,9.33
202,21,Male,98,7.7,95,99,37,74.0,0,42,9.87,No,No,3,62,76,86,1,3,338,8,87,8.52,9.87
203,22,Male,69,6.8,88,32,58,89.0,5,89,7.37,No,No,4,50,94,76,5,2,296,3,48,5.84,7.37
204,24,Male,70,4.2,49,65,44,44.0,0,73,8.21,Yes,No,4,69,65,84,1,2,154,12,85,6.81,8.21
205,19,Male,59,1.7,42,87,96,36.0,1,25,7.27,Yes,No,3,86,54,51,5,2,308,8,62,7.16,7.27
206,22,Male,58,2.0,58,59,93,70.0,4,96,8.9,No,No,3,55,76,44,2,5,52,2,82,7.28,8.9
207,19,Female,64,7.9,73,58,72,68.0,2,27,7.95,Yes,No,3,52,84,39,1,2,152,6,57,5.82,7.95
208,23,Female,90,4.5,62,78,87,70.0,5,73,7.3,No,Yes,3,46,48,55,1,3,237,0,40,4.8,7.3
209,21,Male,89,4.3,94,58,58,48.0,6,79,9.52,No,Yes,4,94,90,48,4,5,151,7,41,9.98,9.52
210,21,Male,79,2.7,53,72,30,87.0,6,67,5.91,Yes,No,3,56,86,20,5,1,220,11,76,4.33,5.91
211,18,Female,79,5.7,78,35,29,54.0,6,95,8.69,Yes,No,4,94,64,94,6,1,347,2,81,9.39,8.69
212,21,Male,76,3.1,98,31,47,54.0,5,35,8.79,No,No,3,69,90,60,2,5,50,6,55,7.71,8.79
213,19,Male,80,7.4,75,71,56,78.0,3,88,8.35,No,Yes,4,85,55,52,6,3,247,7,41,8.62,8.35
214,20,Female,87,7.2,69,42,80,70.0,1,67,6.88,Yes,No,4,73,58,61,6,0,199,7,98,6.38,6.88
215,22,Male,64,1.1,75,83,57,49.0,1,62,6.51,Yes,No,3,42,67,89,1,1,102,8,62,3.69,6.51
216,21,Female,71,6.3,71,92,78,51.0,5,65,6.24,No,No,3,94,93,89,1,5,243,8,41,5.45,6.24
217,19,Male,88,1.2,94,39,26,30.0,3,37,9.21,Yes,No,4,73,78,72,5,3,107,10,51,8.97,9.21
218,18,Male,55,2.5,69,77,27,91.0,5,82,5.57,No,No,4,72,50,98,2,5,28,4,57,3.96,5.57
219,18,Male,88,6.1,74,66,22,94.0,6,75,9.05,Yes,No,4,65,42,21,0,3,215,10,84,7.46,9.05
